timestamp,phase,lat,lon,alt,yaw_deg,distance_m,forward_error_m,right_error_m,roll_pwm,pitch_pwm,throttle_pwm,extra
2026-04-16T17:40:18,Connected,50.450739,30.461241,0.01,358.08,,,,,,,initial connection ok
2026-04-16T17:40:20,Armed,50.450739,30.461241,0.00,358.08,,,,,,,vehicle armed
2026-04-16T17:40:20,Climb to calibration alt,50.450739,30.461241,0.00,358.08,,,,,,1520,
2026-04-16T17:40:20,Climb to calibration alt,50.450739,30.461241,0.00,358.08,,,,,,1520,
2026-04-16T17:40:21,Climb to calibration alt,50.450739,30.461241,0.00,358.08,,,,,,1520,
2026-04-16T17:40:21,Climb to calibration alt,50.450739,30.461241,0.00,358.08,,,,,,1520,
2026-04-16T17:40:21,Climb to calibration alt,50.450739,30.461241,0.00,358.08,,,,,,1520,
2026-04-16T17:40:22,Climb to calibration alt,50.450739,30.461241,0.00,358.08,,,,,,1520,
2026-04-16T17:40:22,Climb to calibration alt,50.450739,30.461241,0.03,358.08,,,,,,1520,
2026-04-16T17:40:23,Climb to calibration alt,50.450739,30.461241,0.06,358.08,,,,,,1520,
2026-04-16T17:40:23,Climb to calibration alt,50.450739,30.461241,0.10,358.08,,,,,,1520,
2026-04-16T17:40:23,Climb to calibration alt,50.450739,30.461241,0.11,358.08,,,,,,1520,
2026-04-16T17:40:24,Climb to calibration alt,50.450739,30.461241,0.12,358.08,,,,,,1520,
2026-04-16T17:40:24,Climb to calibration alt,50.450739,30.461241,0.72,358.09,,,,,,1520,
2026-04-16T17:40:24,Climb to calibration alt,50.450739,30.461241,1.08,358.09,,,,,,1520,
2026-04-16T17:40:25,Climb to calibration alt,50.450739,30.461242,1.89,358.09,,,,,,1520,
2026-04-16T17:40:25,Climb to calibration alt,50.450739,30.461242,2.27,358.09,,,,,,1520,
2026-04-16T17:40:26,Climb to calibration alt,50.450739,30.461242,2.67,358.09,,,,,,1520,
2026-04-16T17:40:26,Climb to calibration alt,50.450738,30.461243,3.53,359.35,,,,,,1520,
2026-04-16T17:40:26,Climb to calibration alt,50.450738,30.461243,4.02,359.25,,,,,,1520,
2026-04-16T17:40:27,Climb to calibration alt,50.450738,30.461243,4.97,359.18,,,,,,1520,
2026-04-16T17:40:27,Climb to calibration alt,50.450738,30.461243,5.39,359.20,,,,,,1520,
2026-04-16T17:40:27,Climb to calibration alt,50.450738,30.461243,5.77,359.20,,,,,,1520,
2026-04-16T17:40:28,Climb to calibration alt,50.450738,30.461243,6.66,359.18,,,,,,1520,
2026-04-16T17:40:28,Climb to calibration alt,50.450738,30.461243,7.11,359.17,,,,,,1520,
2026-04-16T17:40:29,Calibration altitude stabilize,50.450737,30.461244,9.43,359.21,1245.60,,,,,1504,alt_err=10.57 vz_down=-1.25 stable=0/4
2026-04-16T17:40:30,Calibration altitude stabilize,50.450736,30.461244,9.76,359.21,1245.60,,,,,1504,alt_err=10.24 vz_down=-1.34 stable=0/4
2026-04-16T17:40:30,Calibration altitude stabilize,50.450736,30.461245,10.08,359.22,1245.60,,,,,1504,alt_err=9.92 vz_down=-1.12 stable=0/4
2026-04-16T17:40:30,Calibration altitude stabilize,50.450736,30.461245,10.61,359.21,1245.60,,,,,1504,alt_err=9.39 vz_down=-1.13 stable=0/4
2026-04-16T17:40:31,Calibration altitude stabilize,50.450736,30.461245,10.91,359.22,1245.60,,,,,1504,alt_err=9.09 vz_down=-1.30 stable=0/4
2026-04-16T17:40:31,Calibration altitude stabilize,50.450736,30.461246,11.44,359.23,1245.61,,,,,1504,alt_err=8.56 vz_down=-0.94 stable=0/4
2026-04-16T17:40:31,Calibration altitude stabilize,50.450736,30.461246,11.68,359.22,1245.60,,,,,1504,alt_err=8.32 vz_down=-0.99 stable=0/4
